block,neighbourhood,street,jewish_insitute,public_institution,gas_station,banco,car_thefts,month,education,employment_rate
603.0,V. Crespo,Valentin Virasoro,0.0,0.0,0.0,0.0,0.0,4.0,11.919889450073242,0.9265944361686707
604.0,V. Crespo,Valentin Virasoro,0.0,0.0,0.0,0.0,0.0,4.0,11.919889450073242,0.9265944361686707
605.0,V. Crespo,Valentin Virasoro,0.0,0.0,0.0,0.0,0.0,4.0,11.919889450073242,0.9265944361686707
602.0,V. Crespo,Valentin Virasoro,0.0,0.0,0.0,0.0,0.0,4.0,11.919889450073242,0.9265944361686707
599.0,V. Crespo,Valentin Virasoro,0.0,0.0,1.0,0.0,0.0,4.0,11.919889450073242,0.9265944361686707
598.0,V. Crespo,Valentin Virasoro,0.0,0.0,0.0,0.0,0.25,4.0,11.919889450073242,0.9265944361686707
601.0,V. Crespo,Valentin Virasoro,0.0,0.0,0.0,0.0,0.0,4.0,11.919889450073242,0.9265944361686707
600.0,V. Crespo,Valentin Virasoro,0.0,0.0,0.0,0.0,0.0,4.0,11.919889450073242,0.9265944361686707
649.0,V. Crespo,Padilla,0.0,0.0,0.0,0.0,0.0,4.0,11.651155471801758,0.9306601285934448
643.0,V. Crespo,Murillo,0.0,0.0,0.0,0.0,0.0,4.0,11.919889450073242,0.9265944361686707
650.0,V. Crespo,Padilla,0.0,0.0,0.0,0.0,0.0,4.0,11.651155471801758,0.9306601285934448
469.0,V. Crespo,J. B. Justo,0.0,0.0,0.0,0.0,0.0,4.0,12.916980743408203,0.9582417607307434
612.0,V. Crespo,Olaya,0.0,0.0,0.0,0.0,0.0,4.0,11.919889450073242,0.9265944361686707
661.0,V. Crespo,Camargo,1.0,0.0,0.0,0.0,0.0,4.0,11.321651458740234,0.9536231756210327
660.0,V. Crespo,Camargo,0.0,0.0,0.0,0.0,0.0,4.0,11.321651458740234,0.9536231756210327
475.0,V. Crespo,Thames,0.0,0.0,0.0,0.0,0.25,4.0,12.916980743408203,0.9582417607307434
651.0,V. Crespo,Padilla,1.0,0.0,0.0,0.0,0.0,4.0,11.651155471801758,0.9306601285934448
627.0,V. Crespo,Acoyte,0.0,0.0,0.0,0.0,0.25,4.0,11.919889450073242,0.9265944361686707
479.0,V. Crespo,Thames,0.0,0.0,1.0,0.0,0.0,4.0,12.916980743408203,0.9582417607307434
636.0,V. Crespo,Munecas,0.0,0.0,0.0,0.0,0.0,4.0,11.919889450073242,0.9265944361686707
662.0,V. Crespo,Camargo,0.0,0.0,0.0,0.0,0.0,4.0,11.321651458740234,0.9536231756210327
641.0,V. Crespo,Murillo,0.0,0.0,0.0,0.0,0.0,4.0,11.919889450073242,0.9265944361686707
634.0,V. Crespo,Munecas,0.0,0.0,0.0,0.0,0.0,4.0,11.919889450073242,0.9265944361686707
527.0,V. Crespo,Mahatma Gandhi,0.0,0.0,0.0,0.0,0.0,4.0,9.721518516540527,0.9285714030265808
620.0,V. Crespo,Hidalgo,0.0,0.0,0.0,0.0,0.0,4.0,11.919889450073242,0.9265944361686707
526.0,V. Crespo,Mahatma Gandhi,0.0,0.0,0.0,0.0,0.0,4.0,12.89547061920166,0.950276255607605
613.0,V. Crespo,Olaya,0.0,0.0,0.0,0.0,0.0,4.0,11.919889450073242,0.9265944361686707
663.0,V. Crespo,Camargo,0.0,0.0,1.0,0.0,0.0,4.0,11.321651458740234,0.9536231756210327
584.0,V. Crespo,Belaustegui,0.0,0.0,0.0,0.0,0.0,4.0,11.156906127929688,0.9428263306617737
722.0,V. Crespo,Warnes,0.0,0.0,0.0,0.0,0.25,4.0,11.839622497558594,0.9515738487243652
587.0,V. Crespo,R. E. de San Mart,0.0,0.0,0.0,0.0,0.25,4.0,11.38242244720459,0.934725821018219
